,HIP,Vmag,RA,DE,Plx,pmRA,pmDE,e_Plx,B-V
246,7990,8.4,25.654124,-58.413056999999995,22.59,22.4,-38.03,0.82,0.7140000000000001
247,8035,9.13,25.796793,-58.009668999999995,24.3,-149.96,-187.83,2.1,0.8740000000000001
248,8038,10.12,25.808926,-21.615632,22.11,58.75,-18.27,14.43,1.158
249,8067,10.61,25.912488,28.055999,20.23,254.13,0.88,6.05,1.035
250,8078,8.51,25.937314,9.568774000000001,21.2,-46.85,-46.21,3.47,0.82
251,8109,7.27,26.058869,54.886483999999996,22.38,-50.14,-20.97,0.87,0.601
252,8128,8.74,26.120282,-33.842487,21.09,94.37,-74.9,1.17,0.685
253,8220,10.13,26.460976000000002,-11.32949,24.49,126.01,-312.19,1.95,1.104
254,8233,6.38,26.504143,-27.348722,23.16,97.86,-45.12,0.81,0.366
255,8398,7.13,27.084421000000003,-41.495437,22.16,413.82,153.07,0.77,0.637
256,8489,11.17,27.361362,17.783561,20.53,22.97,-207.75,2.43,
257,8498,7.93,27.398006,-46.76893,20.46,22.0,106.9,0.91,0.664
258,8548,7.07,27.563815,-6.7041830000000004,23.26,226.1,37.88,0.9,0.569
259,8582,8.96,27.688127,55.919052,20.29,251.33,-91.09,1.25,0.78
260,8588,5.92,27.716725,11.043446000000001,23.46,-69.33,-27.84,1.02,0.302
261,8598,5.96,27.737869,51.933698,22.42,41.16,-115.5,0.67,0.419
262,8631,11.48,27.833990000000004,-38.009988,21.97,140.61,198.05,5.74,1.3430000000000002
263,8653,8.61,27.879741999999997,-7.7398940000000005,22.83,92.86,-3.99,1.33,0.644
264,8687,11.48,27.941418,-54.965814,20.13,279.27,-13.32,5.96,1.3880000000000001
265,8753,10.08,28.150790999999998,36.342979,20.46,128.69,-181.06,1.51,1.095
266,8775,11.48,28.213507,4.832764,21.01,110.16,-24.61,3.33,1.315
267,8825,10.35,28.365926,73.963711,23.06,545.54,-171.84,1.35,1.131
268,8830,9.31,28.380999,-21.252125,24.12,6.75,-249.05,1.34,0.988
269,8859,6.77,28.490802000000002,10.614721000000001,23.97,-185.12,-285.6,0.97,0.46799999999999997
270,8946,12.49,28.807768,7.146407000000001,22.93,84.6,-60.35,5.47,1.34
271,8958,9.36,28.84175,2.956818,23.17,-7.77,-55.38,3.02,0.94
272,8983,6.07,28.943608,-60.861137,21.5,14.17,66.77,0.53,0.35600000000000004
273,8991,6.15,28.959378000000005,-78.348677,24.2,103.01,53.05,0.51,0.44799999999999995
274,9059,9.62,29.160189000000003,43.913006,22.05,-201.23,-103.09,1.45,0.92
275,9067,11.62,29.182608000000002,29.810731,20.02,-133.25,48.24,3.09,1.686
276,9127,9.19,29.416311999999998,-5.232933,24.79,196.47,-204.88,1.45,0.953
277,9141,8.07,29.453802000000003,-21.901362,23.61,103.86,-50.89,1.03,0.6509999999999999
278,9151,6.87,29.480758,40.760815,22.65,123.81,-86.89,0.79,0.499
279,9153,4.79,29.482398,23.596096,24.49,-91.51,-14.45,0.78,0.29
280,9349,7.99,30.022118,-13.546062,22.8,48.68,-20.91,1.18,0.66
281,9400,8.93,30.197706,-80.532368,24.32,-67.3,-141.86,0.85,0.797
282,9404,8.76,30.202588000000002,-12.875268,23.8,218.63,117.76,1.21,0.746
283,9414,6.84,30.236395,-78.870168,21.86,120.93,-57.67,0.53,0.5760000000000001
284,9463,10.16,30.449293,13.024505,24.83,-128.28,-146.27,1.91,1.19
285,9473,7.06,30.468324,7.864488000000001,21.43,121.23,-49.33,0.84,0.51
286,9487,3.82,30.511669,2.76376,23.45,33.29,-0.42,1.06,0.024
287,9519,8.18,30.611289000000003,2.81588,21.24,34.96,-8.54,1.28,0.649
288,9576,6.88,30.75665,3.358281,20.63,220.25,138.03,1.15,0.664
289,9583,7.7,30.789233000000003,48.620502,21.24,195.2,-45.98,1.9,0.644
290,9598,3.95,30.859126,72.42124,20.12,-44.0,22.51,0.56,-0.002
291,9599,11.86,30.867524,9.886864,23.48,170.12,-4.47,3.58,1.376
292,9607,11.54,30.886683,12.584846,21.7,382.01,-53.82,3.39,1.34
